IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.141.33.67,443,443,true,FRA,Europe,Frankfurt,261,2.96
34.141.248.249,2053,80,false,AMS,Europe,Amsterdam,188,2.95
34.141.248.249,2096,80,false,AMS,Europe,Amsterdam,166,2.89
34.141.221.33,2082,80,false,AMS,Europe,Amsterdam,161,2.89
34.141.248.249,2087,80,false,AMS,Europe,Amsterdam,164,2.89
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,167,2.89
34.116.252.45,443,0,true,FRA,Europe,Frankfurt,251,2.88
34.141.248.249,2052,80,false,AMS,Europe,Amsterdam,165,2.88
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,166,2.87
34.140.239.154,2082,80,false,CDG,Europe,Paris,165,2.86
34.141.221.33,2083,80,false,AMS,Europe,Amsterdam,164,2.86
34.141.221.33,2087,80,false,AMS,Europe,Amsterdam,167,2.85
35.187.41.171,2087,80,false,CDG,Europe,Paris,165,2.79
34.140.239.154,2096,80,false,CDG,Europe,Paris,164,2.78
34.154.232.174,443,443,true,FRA,Europe,Frankfurt,187,2.78
34.65.254.225,443,443,true,FRA,Europe,Frankfurt,185,2.78
34.65.25.84,443,443,true,FRA,Europe,Frankfurt,176,2.76
34.140.239.154,2086,80,false,CDG,Europe,Paris,162,2.72
35.234.174.212,443,443,true,AMS,Europe,Amsterdam,257,2.72
34.140.239.154,2083,80,false,CDG,Europe,Paris,166,2.72
34.65.168.20,443,443,true,FRA,Europe,Frankfurt,187,2.70
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,166,2.70
34.175.99.73,2096,80,false,MAD,Europe,Madrid,179,2.66
34.140.239.154,2095,80,false,CDG,Europe,Paris,167,2.66
34.175.161.245,2082,80,false,MAD,Europe,Madrid,181,2.64
34.141.248.249,2083,80,false,AMS,Europe,Amsterdam,163,2.63
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,164,2.62
34.141.248.249,2086,80,false,AMS,Europe,Amsterdam,167,2.62
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,163,2.61
34.175.95.58,2096,80,false,MAD,Europe,Madrid,179,2.61
34.65.85.72,443,443,true,FRA,Europe,Frankfurt,175,2.61
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,165,2.61
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,168,2.60
34.147.101.117,2087,80,false,AMS,Europe,Amsterdam,161,2.60
34.175.95.58,2053,80,false,MAD,Europe,Madrid,181,2.59
34.140.239.154,2053,80,false,CDG,Europe,Paris,167,2.59
34.140.239.154,2087,80,false,CDG,Europe,Paris,166,2.59
34.65.156.25,443,443,true,FRA,Europe,Frankfurt,180,2.59
34.141.221.33,2095,80,false,AMS,Europe,Amsterdam,167,2.59
34.140.239.154,2052,80,false,CDG,Europe,Paris,167,2.58
34.175.133.251,2095,80,false,MAD,Europe,Madrid,182,2.57
34.175.133.251,2052,80,false,MAD,Europe,Madrid,184,2.56
34.175.133.251,2086,80,false,MAD,Europe,Madrid,185,2.55
34.65.128.53,443,443,true,FRA,Europe,Frankfurt,200,2.53
34.175.95.58,2052,80,false,MAD,Europe,Madrid,182,2.53
34.175.95.58,2083,80,false,MAD,Europe,Madrid,184,2.52
34.175.95.58,2086,80,false,MAD,Europe,Madrid,185,2.52
34.175.133.251,2087,80,false,MAD,Europe,Madrid,181,2.51
34.175.95.58,2087,80,false,MAD,Europe,Madrid,181,2.50
