IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
144.21.38.114,443,443,true,FRA,Europe,Frankfurt,185,11.05
132.145.127.21,2086,2086,false,NRT,Asia Pacific,Tokyo,69,11.04
144.24.179.97,443,443,true,FRA,Europe,Frankfurt,163,11.04
158.101.142.103,2096,2096,true,NRT,Asia Pacific,Tokyo,113,11.03
168.138.198.202,2096,2096,true,NRT,Asia Pacific,Tokyo,213,11.03
158.101.159.181,2087,2087,true,NRT,Asia Pacific,Tokyo,132,11.03
129.146.247.85,2053,443,true,LAX,North America,Los Angeles,203,11.02
158.101.88.214,8080,8080,false,NRT,Asia Pacific,Tokyo,68,11.02
140.238.54.149,80,80,false,NRT,Asia Pacific,Tokyo,90,11.02
158.101.68.48,2087,2087,true,NRT,Asia Pacific,Tokyo,126,11.02
151.145.74.199,8880,8880,false,NRT,Asia Pacific,Tokyo,80,11.01
158.101.149.71,2096,2096,true,NRT,Asia Pacific,Tokyo,74,11.01
132.145.225.17,443,443,true,AMS,Europe,Amsterdam,167,11.00
132.145.120.182,80,80,false,NRT,Asia Pacific,Tokyo,81,11.00
168.138.211.131,2087,2087,true,NRT,Asia Pacific,Tokyo,142,10.99
158.180.28.95,443,443,true,FRA,Europe,Frankfurt,196,10.98
140.238.35.78,2082,2082,false,NRT,Asia Pacific,Tokyo,76,10.98
140.238.39.21,8443,8443,true,NRT,Asia Pacific,Tokyo,90,10.98
140.238.53.190,2052,2052,false,NRT,Asia Pacific,Tokyo,79,10.97
158.101.68.100,8080,8080,false,NRT,Asia Pacific,Tokyo,68,10.97
158.101.136.239,2086,2086,false,NRT,Asia Pacific,Tokyo,78,10.96
158.180.29.22,443,443,true,AMS,Europe,Amsterdam,182,10.96
140.238.62.12,8080,8080,false,NRT,Asia Pacific,Tokyo,80,10.96
140.238.33.165,2087,2087,true,NRT,Asia Pacific,Tokyo,95,10.96
140.238.54.166,8443,8443,true,NRT,Asia Pacific,Tokyo,82,10.96
158.101.133.129,8880,8880,false,NRT,Asia Pacific,Tokyo,87,10.95
131.186.39.42,8443,8443,true,NRT,Asia Pacific,Tokyo,121,10.95
158.101.149.122,2083,2083,true,NRT,Asia Pacific,Tokyo,280,10.95
151.145.75.28,2053,2053,true,NRT,Asia Pacific,Tokyo,91,10.95
141.147.178.202,8443,8443,true,NRT,Asia Pacific,Tokyo,79,10.95
158.101.144.189,8880,8880,false,NRT,Asia Pacific,Tokyo,78,10.95
158.101.70.155,8880,8880,false,NRT,Asia Pacific,Tokyo,85,10.94
168.138.215.188,2086,2086,false,NRT,Asia Pacific,Tokyo,75,10.94
168.138.212.184,2083,2083,true,NRT,Asia Pacific,Tokyo,176,10.94
168.138.214.62,2086,2086,false,NRT,Asia Pacific,Tokyo,82,10.94
158.101.149.122,2087,2087,true,NRT,Asia Pacific,Tokyo,83,10.94
168.138.212.74,2095,2095,false,NRT,Asia Pacific,Tokyo,77,10.93
158.101.146.203,2096,2096,true,NRT,Asia Pacific,Tokyo,103,10.93
132.145.127.51,2083,2083,true,NRT,Asia Pacific,Tokyo,72,10.93
158.101.136.239,2052,2052,false,NRT,Asia Pacific,Tokyo,93,10.93
131.186.35.189,2096,2096,true,NRT,Asia Pacific,Tokyo,75,10.93
140.238.60.177,80,80,false,NRT,Asia Pacific,Tokyo,82,10.92
131.186.59.94,8880,8880,false,NRT,Asia Pacific,Tokyo,83,10.92
132.145.120.197,2083,2083,true,NRT,Asia Pacific,Tokyo,154,10.92
141.148.239.62,443,443,true,FRA,Europe,Frankfurt,177,10.92
140.238.48.97,2086,2086,false,NRT,Asia Pacific,Tokyo,79,10.91
131.186.41.255,2086,2086,false,NRT,Asia Pacific,Tokyo,69,10.91
140.238.82.192,443,443,true,FRA,Europe,Frankfurt,194,10.91
141.147.168.13,2053,2053,true,NRT,Asia Pacific,Tokyo,81,10.90
132.145.251.158,443,443,true,FRA,Europe,Frankfurt,189,10.90
